title,number,createdAt,author
"Update deploymentId in sites rule for first deployment","#10820","2025-11-14T15:15:55Z","hmacr"
"chore: update framework lib to 0.33.29","#10818","2025-11-14T08:24:50Z","ChiragAgg5k"
"fix: enable SMTPAuth validation for SMTP settings (#9067)","#10814","2025-11-13T09:44:18Z","duvvuvenkataramana"
"feat: Enhanced screenshot error handling and debugging","#10798","2025-11-11T05:38:09Z","vm0809"
"Update README files to match new tagline","#10797","2025-11-10T21:16:44Z","ebenezerdon"
"refactor(account): move MFA endpoints to module actions","#10793","2025-11-10T11:57:33Z","HarshMN2345"
"Update README.md","#10790","2025-11-10T08:26:22Z","LauraDuRy"
"Set proper access-control-allow-origin for OPTIONS request","#10772","2025-11-06T12:24:00Z","hmacr"
"Send email on failed deployment","#10770","2025-11-06T07:35:14Z","hmacr"
"fix: Use supported runtimes from env config","#10759","2025-11-04T06:40:31Z","hmacr"
"Feat: utopia auth","#10758","2025-11-04T06:23:05Z","lohanidamodar"
"Add TikTok OAuth provider","#10756","2025-11-03T22:08:45Z","Copilot"
"docs: add Ubuntu prerequisites for Docker installation","#10734","2025-10-30T03:44:43Z","Navadeep0007"
"Refactor Brazilian Portuguese translations and email templates","#10733","2025-10-30T03:34:40Z","feschaffa"
"fix: increase sites template deployment test timeout","#10727","2025-10-29T09:55:16Z","hmacr"
"Customize email preview and heading between Console and projects","#10723","2025-10-28T14:10:27Z","hmacr"
"feat: per bucket image transformations flag","#10722","2025-10-28T08:43:52Z","ChiragAgg5k"
"CSV import fix for spatial types","#10721","2025-10-28T08:39:37Z","ArnabChatterjee20k"
"Appwrite overall readability","#10716","2025-10-28T01:24:25Z","mishmanners"
"Feat 1we 29 : Add email templates for account change notifications","#10708","2025-10-27T11:23:14Z","bandaranaike"
"add: env var.","#10703","2025-10-26T11:15:03Z","ItzNotABug"
"feat: Add provider info to the session data for OAuth2 token auth","#10685","2025-10-22T22:38:00Z","adityaoberai"
"Refactor authorization handling across multiple modules to use the neâ€¦","#10682","2025-10-22T13:37:49Z","shimonewman"
"POC Feat photo api","#10680","2025-10-22T09:23:41Z","eldadfux"
"docs: fix Docker command syntax in code autocompletion section","#10671","2025-10-21T05:54:21Z","JDeep1234"